'LAKE NAME', 'CONTENTS', 'DATE', 'FUZZY MATCH'
MONTCALM_WHITEFISH_MNGM_0001_1.csv,11. No walleyes taken following 2  years of fry plants. Plant  fingerlings and discontinue fry  plants. ,,0
SCHOOLCRAFT_THUNDER_MNGM_0001_1.csv,2. No fish planted from 1941 on ,1952.0,1
GOGEBIC_FOXPAW_MNGM_0002_1.csv,6. 2000 rainbows(t2. 2) planted 7/65;  1300rainbows(++4 5) planted 8/65 ,8/65 ,1
GOGEBIC_FOXPAW_MNGM_0002_1.csv,"10. 4, 000 SF rainbows (+1. 5"") planted  5/31/66 ",10/66 ,1
GOGEBIC_FOXPAW_MNGM_0002_1.csv,13. Revised. No fish planted in 1967  1968 request revised ,,1
MONTCALM_MUD_MNGM_0003_1.csv,"3. 10,000 pike fing. planted ",5/62 ,1
ALGER_SHOESOUTH_MNGM_0001_1.csv,3. 500 (F) 1. m. bass stocked 9/3/59  (emergency plant) ,1959.0,1
OAKLAND_DEER_MNGM_0001_1.csv," 1947- 1,200  1948- 3,000  1949- none planted  1950-spring 3000 (A), fall 2100 (A) ",7/65 ,1
IRON_RUNKLE_MNGM_0001_2.csv,"5. Cont. Planting summary: 1970-  2,000 fing. tiger muskies; 1971-  375 fing. tiger muskies. ",2/79 ,0
GENESSE_LOBDELL_MNGM_0004_1.csv,2. Rainbows stocked starting in 1942 ,1948 ,1
GENESSE_LOBDELL_MNGM_0004_1.csv,3. Rather unsatisfactory results --  lake dropped from planting prog. ,5/56 ,1
GENESSE_LOBDELL_MNGM_0004_1.csv,"6. 70,000 n. pike fry planted ",,1
OCEANA_WHITLOCK_MNGM_0001_1.csv,"3. Placed on stocking schedule,but  ripe fish not available this ",3/60 ,1
SCHOOLCRAFT_HERMANS_MNGM_0001_1.csv,5. Stocking plan tabled-see #2  recommendations ,1980 ,0
SCHOOLCRAFT_HERMANS_MNGM_0001_1.csv,6. USFS timber mgmt. practices ammended  to encourage intolerant spp near outlet  3 adult beaver released 10/82. ,,1
WASHTENAW_SCHASSER_MNGM_0003_1.csv,"1. Oxygen and Temperature tests were  made July 26, 1955. Titration re-  vealed insufficient oxygen below  the 10 foot level to justify  trout stocking ",1955.0,1
BARAGA_ANDERSON_MNGM_0002_1.csv,2. Netting indicates poor survival  of stocked brown trout. ,5/63 ,1
LAPEER_BIGFISH_MNGM_0003_1.csv,3. RBT stocked annually as recorded. ,57 12/67 ,1
BARAGA_ALBERTA_MNGM_0002_1.csv,4. Annual brook trout stocking program  begun 1958 ,1/63 ,1
BARAGA_ALBERTA_MNGM_0002_1.csv,11. Brook trout only planted as  recommended. ,8/65 ,1
BARAGA_ALBERTA_MNGM_0002_1.csv,"13. 3, 000 SP brook (+1.5"") and 3,000  SP rainbows (1.9"") planted 5/26/66 ",5/66 ,1
DICKINSON_KIMBERLEYCLARK_MNGM_0001_1.csv,1. Stocked (see 1965 and 1966 stocking  report) ,11/66 ,0
DICKINSON_KIMBERLEYCLARK_MNGM_0001_1.csv,"1. Cont. Planting summary:  1971-10,000 Y brooks, 1972-10,000 F-  brooks. ",2/79 ,0
DICKINSON_KIMBERLEYCLARK_MNGM_0001_1.csv,"2. Cont. Planting Summary:  1977-500 FF brooks, 1978-1,800 SF ",2/79 ,0
ANTRIM_BELLAIRE_MNGM_0001_2.csv,10. Lake trout stocking discontinued  in 1958 due to Great Lakes  rehabilitation program. ,12/61 ,1
ANTRIM_BELLAIRE_MNGM_0001_2.csv,13. Delete stocking of lake trout.  Change to splake plantings ,1/74 ,1
ANTRIM_BELLAIRE_MNGM_0001_2.csv,16. Splake stocked 1966 to 1977-  plants temporarily discontinued  because of production shortage. ,2/79 ,1
MONTMORENCY_AVERY_MNGM_0001_1.csv,4. Stocked w/rbw 1973-1975. ,2/79 ,0
DELTA_BANANA_MNGM_0003_2.csv,"10. Stocked 5000 (2.6"") rainbow  trout 9/19/66 (FC) ",1966.0,0
DELTA_BANANA_MNGM_0003_2.csv,5. Stocked as recommended 1953. ,1972.0,0
SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.csv,"9. Stocked 2000 (2"") 1. m. bass 6/24/66  4, Stocked 5000 (SF) rainbow 5/23/66  (FC) ",1966.0,0
SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.csv,9. Stocked with 2700 (F) LM Bass ,1966.0,0
SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.csv,"10. Stocked with 10,000 (F) bluegills ",1970.0,0
IRON_ELLEN_MNGM_0002_2.csv," 1961. 2, 000 legal brook trout  and 1, 000 sub-legal rainbow  stocked in 1963. ",10/64 ,1
IRON_ELLEN_MNGM_0002_2.csv,11. 6150 legal rainbows stocked 1965 ,11/66 ,1
IRON_ELLEN_MNGM_0002_2.csv,"13. Done, Trout stocking discontinued, ",1-78 ,1
IRON_ELLEN_MNGM_0002_2.csv,"14. Cont. Planted as follows: 1971-  10,006 FF RBWs; 1973-7,200 Y RBWs;  1974-7,200 Y RBWs; 1976-7,260 Y RBWs;  1977-2,000 Y RBWs; 1978-7,200 Y RBWs. ",2/81 ,0
OGEMAW_NERO_MNGM_0003_1.csv,5. First planting in 1947 ,1953 ,1
OGEMAW_NERO_MNGM_0003_1.csv,5. (cont'd.) Planting discontinued. ,,0
ALLEGAN_RABBIT_MNGM_0001_1.csv,1. No fish planted 1933 to 1968 ,9/9/69 ,1
BARAGA_ROLLAND_MNGM_0003_2.csv,"19. Rev. 16,000 FF rainbows (+2.  planted 11/9/66 ",11/66 ,1
BARAGA_ROLLAND_MNGM_0003_2.csv,"20. Done.  21, 7, 837 kamloop rainbow (+3. 1)  released 6/14/67. ",3/67 ,1
BARAGA_ROLLAND_MNGM_0003_2.csv,23. Brook trout stocked 1970-74. ,trou ,1
BARAGA_ROLLAND_MNGM_0003_2.csv,"23. cont'd. 3000 brook trout X 3.6""  stocked 8/75. ",7/74 ,1
BARAGA_ROLLAND_MNGM_0003_2.csv,23. cont'd. 3000 (FF) brook trout  released 9/76. ,1/76 ,1
JACKSON_GOOSE_MNGM_0001_1.csv,"1. Bluegills stocked 1937-38, 40-42.  Fyke and gill net survey 1945.  Gill net survey conducted 1946.  Panfish common. Oxygen checked  1946, 48, 51, 52, 55, 56, 57, 59,  Lake mapped 2/51 by IFR.  Lake classified as mortality lake--  open to year around fishing. ",,1
BARAGA_KNIGHT_MNGM_0001_1.csv,"5. 1500 1. m. bass (+3. 5"") planted  10/21/64 ",6/63 ,1
KENT_TOOHEY_MNGM_0003_1.csv,4. Stocking discontinued ,12/55 ,0
KENT_TOOHEY_MNGM_0003_1.csv,5. Stocked as recommended in 1959  and 1960 ,10/60 ,0
KENT_TOOHEY_MNGM_0003_1.csv,7. 1960 - 250 rainbows(S) plantedHJV  250 L. rainbow trout planted  250 L. rainbow trout planted 8. Discontinued ,1960 ,1
JACKSON_HORTONMILL_MNGM_0003_1.csv,"1.Stocking recommendations carried  out October 16, 1950 ",,0
GOGEBIC_BASS_MNGM_0004_1.csv,2. No fish planted 1941-1963. ,1-63 ,1
KALKASKA_WESTBLUE_MNGM_0003_1.csv,"1. 1,000 fing. walleyes planted  7/10/57 ",12/58 ,1
KEWEENAW_MEDORA_MNGM_0001_2.csv,14. 1000 legal brook trout planted in  1962.  140 (cont). 1000 legal brook and 2000  legal rainbow trout planted in  1963.  14( (cont). 1000 legal brook and 850 legal  rainbow trout planted in 1964 ,1963 ,1
KEWEENAW_MEDORA_MNGM_0001_2.csv,"16. Feasibility of whitefish mgt.  currently being explored, egg  coll. possibilities as yet inconclusive  16(cont) 10.000 rainbow (+3. 7)  released 6-8-67 ",7/65 ,1
KEWEENAW_MEDORA_MNGM_0001_2.csv,"17. Netting shows small perch to be  abundant; whitefish present in good  S. m. bass and pseeds common; W.  dominant by weight;introduced  growing at avg. rate with fair survival.  see fish coll. card 7/10-11/68.  15,495 18. 6,200 walleyes avg. 2.5"" released  7/16/71. ",3/67 ,1
BARAGA_LAWS_MNGM_0001_1.csv,"4. 4000 F, 2000 SL, 1000 L brook  trout and 750 L rainbow trout  planted in 1960. ",10/60 ,1
BARAGA_LAWS_MNGM_0001_1.csv,4. (cont) 4000 fing. brook and 750  rainbow planted in 1961 ,2/63 ,1
BARAGA_LAWS_MNGM_0001_1.csv,7. Planted as recommended 1962  through 1964. ,1964 ,0
BARAGA_LAWS_MNGM_0001_1.csv,"10. 1500 rainbows (+3. 9"") planted  8/17/65 ",6/66 ,1
KALAMAZOO_GULL_MNGM_0004_2.csv,10. Trout stocked from 1962 ,1/75 ,1
KALAMAZOO_GULL_MNGM_0004_2.csv,"11. Done, 1970, 1971  11a. Atlantic salmon stocked from  1974-1976 ",11/76 ,1
CHIPPEWA_GARLINGHOUSE_MNGM_0002_1.csv,3. Stocked 100 (SL) 1961; 100 (L)  1962 ,1963 ,0
MARQUETTE_SQUAW_MNGM_0002_1.csv,"2. Planted 15,000 rainbow fingerlings  each year, 1943-46. ",10-6-45 ,0
MARQUETTE_SQUAW_MNGM_0002_1.csv,"5. Rainbow trout, 15,000 (7) planted  in 1946. ",1950 ,1
MARQUETTE_SQUAW_MNGM_0002_1.csv,"6. No fish planted, 1947 & 48. Over-  night gill net set yielded 19.9""  rainbow, with clipped dorsal  (Planted 1946).  Lievense (1948) reported it to be  a good rainbow lake, and this is  confirmed by Long & FO Seppala. ",,0
LAPEER_YOUNGS_MNGM_0001_1.csv,2. Restocked as recorded. Fish ,71&72 ,0
SCHOOLCRAFT_LOST_MNGM_0003_1.csv,2. Trout net planted because of ques-  tionable access. ,1952.0,1
KEWEENAW_LACLABELLE_MNGM_0001_1.csv,"8. 8,000 walleyes (+2.4"") planted  6-24-64 ",of ,1
SAGINAW_LINTON_MNGM_0003_1.csv,1. Stocking recommendations carried  out 5/23/50. ,5/50 ,0
SAGINAW_LINTON_MNGM_0003_1.csv,"3. Stocked with 250 (8"") rainbow ",1951 ,0
SAGINAW_LINTON_MNGM_0003_1.csv,"5. Stocked with 700(715"") bgills and  500 (4"") 1. m. bass. ",1955 ,0
SAGINAW_LINTON_MNGM_0003_1.csv,"10. Restocked with 800 bgills, 200 ",1965 ,0
ONTONAGON_ROBBINS_MNGM_0001_2.csv,"13. 4, 000 brook trout (+1. 8)  released 7/67. ",7/67 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,15. Brook trout stocked 1969-73; not  avail. in 1974; brown trout substituted. ,1/74 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,"14. Netted 7/74; browns planted 5/74  (500 X 5.0"") avg. 11.0"" brook trout  growth slow. ",74 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,15. Splake stocked 1973. ,12/74 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,"16. Browns released 6/74 (500 X 5.6"") ",1/76 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,16. 500 (Y) browns released 1975 & 76. ,10/76 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,"16. 500 rbw x 6.6"" released 6/78, ",12/78 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,16. cont'd. 500 brn. trout 10.1 cm  released 6/79. ,11/79 ,1
ONTONAGON_ROBBINS_MNGM_0001_2.csv,17. (Cont.) Netted 5/82; growth and  survival of planted BNT is very  good. ,,1
BRANCH_MUD_MNGM_0001_1.csv,"1. Lake summarized and fish composi-  tion noted. Panfish and associated  species 9/39, 8/48.  Stocking: bgills 1937, 39-42; ",12/79 ,0
GOGEBIC_REDBOAT_MNGM_0001_1.csv,"2. 500 legal brook trout (+7. 6"") stocked  in fall, 1960. ",9/60 ,1
GOGEBIC_REDBOAT_MNGM_0001_1.csv,4. Netting and angler reports indicate  some survival and good growth of  planted brook trout. Lake receiving  more intensive fishing for trout  than anticipated. ,8/62 ,1
GOGEBIC_REDBOAT_MNGM_0001_1.csv,5. (cont) 500 brook trout (+9.5'  planted in 1964. ,1964 ,1
GRANDTRAVERSE_SILVER_MNGM_0003_1.csv,"1. 5,000 L rainbows planted 1955-57 ",3/67 ,1
GRANDTRAVERSE_SILVER_MNGM_0003_1.csv,"2. 5,000 L rainbows planted 1960-61 ",3/67 ,1
GRANDTRAVERSE_SILVER_MNGM_0003_1.csv,"4. 1,000 rainbow planted 1963-65 ",3/67 ,1
BRANCH_KENYON_MNGM_0001_1.csv,1. Bluegills stocked 1937-45; 1. m. bass  1944-45. General surv. conducted  Panfish common. P. A. S. acquired  6/9/52. ,5/63 ,1
CALHOUN_GOGUAC_MNGM_0001_1.csv,1. Stocking: bgills 1937-45; 1. m.  1937-45; perch 1937-39.  P.A.S. purchased 6/24/42.  P.A.S. developed.  Lake mapped by IFR 1/51 ,6/64 ,0
ALGER_CLYDES_MNGM_0001_1.csv,1. 500(F) 1. m. bass stocked 1947. ,1947.0,1
JACKSON_SWAINS_MNGM_0001_1.csv,"1. Stocking: bluegills 1938, 39, 41-43; ",1940 ,0
JACKSON_SWAINS_MNGM_0001_1.csv,"1. m. bass 1938, 39, 41-43; perch  sunfish 1939.  Lake inventoried 1940; found panfish  bass, perch. Mapped 9/40 by IFR.  Rainbow trout planted 1941, 42, 53, ",58-65 ,1
JACKSON_SWAINS_MNGM_0001_1.csv,8. Trout stocking program discontinued. ,7/66 ,1
MARQUETTE_FISH_MNGM_0004_1.csv,7. N. pike stocked as follows: 100  1961; 145 adults 1962; and 100  adults 1963 ,12/63 ,1
STCLAIR_BRYCEROAD_MNGM_0002_1.csv, Stocking unsuccessful probably due  to the established population of un-  desirsbl> species of fish.  Fish population poisoned out by use  of emulsifiable rotenone. ,9-26-52 ,0
BARRY_DEEPLITTLE_MNGM_0001_1.csv,"3. Good fishing success  500 - L Rainbow trout planted  500 "" = H #  500 = If = =  500 If = = =  250 = = = =  250 18 = If = ",9-57 ,1
LAPEER_BASSO_MNGM_0001_1.csv,3. Restocked as recorded ,11/71 ,0
LUCE_LOST_MNGM_0003_1.csv,4. Stocked according to plan - see  stocking record. ,10/49 ,0
LUCE_LOST_MNGM_0003_1.csv,"4. (abc) See stocking report.  3a. Gill nets 9/18e20/61 & observa-  tions-trout in good shape  4d. Stocked 2000(SL), 200(L) brook  trout 1965  4e. Stocked 1000(FF) 1966; 800 (X)  1967; 800(Y) 1968 ",9/61 ,0
OTSEGO_PICKEREL_MNGM_0001_2.csv,10. Planting reduced to determine ,12/61 ,0
OTSEGO_PICKEREL_MNGM_0001_2.csv,12. Plantings completed in 1964 ,12/66 ,0
CALHOUN_GRAHAM_MNGM_0003_1.csv,1. Stoc king:bluegills 1937-45; 1. m.  40-45; perch 1937-39. PAS  9/21/42. ,1937-38 ,1
IRON_LOON_MNGM_0002_1.csv,1. 40 adult northern pike stocked  1954. ,3-55 ,1
HOUGHTON_PIKE_MNGM_0001_1.csv,"5. 4100 r. bow 7.4"" released 6/78;  170000 w.eye fry and 170000 n. pike fry  released 5/78. ",12/78 ,1
DICKINSON_HAMILTON_MNGM_0001_1.csv,"1. 3,000 (A) rainbows planted  11/9/50  2: Fishing for rainbow trout was  good during the 1955 season.  Rainbow trout planted (2000 (A)  1952 and 1953 in fall. Catches  only Fair. Adult fish seen  spawning in inlet in 1953. ",12/8/50 ,1
DICKINSON_HAMILTON_MNGM_0001_1.csv,2. Very few trout being harvested  3 No trout stocked in 1960 ,63 ,1
KEWEENAW_MEDORA_MNGM_0001_3.csv,"16. 10,000 r'bow (x.3.7) released ",6/67 ,1
KEWEENAW_MEDORA_MNGM_0001_3.csv,"16. R'bow released 1968, 70, 71, 72,  73, 74 ",1/76 ,1
KEWEENAW_MEDORA_MNGM_0001_3.csv,"16. 10,000 steelhead 5.0"" released ",10/76 ,1
KEWEENAW_MEDORA_MNGM_0001_3.csv,"16. 10,200 released (Y) r'bows 6/76. ",12/76 ,1
KEWEENAW_MEDORA_MNGM_0001_3.csv,"19. 8617 walleyes avg. 2.3"" released  7/76. ",10/77 ,1
KEWEENAW_MEDORA_MNGM_0001_3.csv,"16. 5000 rbw X 7.4"" released 6/78. ",11/79 ,1
KEWEENAW_MEDORA_MNGM_0001_3.csv,16. cont'd. 7000 rbw 9.9 cm released  6/79.  16 con't. 1900 rbw trt 19.4 cm  5/80; 5000 rbw 19. 7 cm 6/80 ,10/80 ,1
ALGER_COOK_MNGM_0001_1.csv,4. USFS contacted but no action taken  Private hatchery operator planted  surplus rainbow trout in '68. ,12/68 ,1
OSCODA_SADDLEBACK_MNGM_0003_1.csv,4. LM bass adults planted 6/19/78. ,,1
MARQUETTE_BASS_MNGM_0004_1.csv,"5. Tiger muskellunge stocked 1978,  no northern musky available. ",1/79 ,1
OSCODA_HELMER_MNGM_0003_1.csv,1. No fish planted since 1937. ,3/79 ,1
GRANDTRAVERSE_DYER_MNGM_0003_1.csv," '56; 1,000 F. LM bass planted  8/12/57& 25 A. northern pike  planted 4/1/57 ",10/58 ,1
GRANDTRAVERSE_DYER_MNGM_0003_1.csv,2. 200 F 1. m. bass and 50 F bgills  planted in 1960. ,3/67 ,1
LIVINGSTON_MURRAY_MNGM_0002_1.csv,"3. 5,000 sublegal (5. 9"") rainbow  stocked 12/29/60 ",1/61 ,1
LIVINGSTON_MURRAY_MNGM_0002_1.csv,"7. 5, 000 fall fing. rainbow stocked ",9/66 ,1
LIVINGSTON_MURRAY_MNGM_0002_1.csv,"8. 4, 000 spring fing. rainbow stocked  in 6/67, but large mortality required  additional stocking of 7, ,500 spring  fing. in 7/67. ",2/68 ,1
IRON_STANLEY_MNGM_0001_1.csv,1. No walleyes stocked to date ,1/12/62 ,1
IRON_STANLEY_MNGM_0001_1.csv,"1. (cont.) 1, , 000 walleye fingerling  stocked in July 1962 ",10/62 ,1
IRON_STANLEY_MNGM_0001_1.csv,"4. Cont. N. muskies stocked 1969  (1,000 F); 1971 (1,000 F) ; 1975 (1,240 ",2/79 ,1
MARQUETTE_WOLF_MNGM_0001_1.csv,"1. Planted 1,000 marked brook trout  in fall 1950. ",6/57 ,0
MARQUETTE_WOLF_MNGM_0001_1.csv,3. Planted with rainbows each fall  1951 through 1956. ,59 6-12- ,0
MARQUETTE_WOLF_MNGM_0001_1.csv,4. Browns & rainbows planted each  year 1957 thru 62. Some trout taken  in 2 to 3 1b. class. Suckers ,7/63 ,1
KENT_KENTLEAGUE_MNGM_0002_1.csv,"1. Legal rainbow trout planted as rec:  1958-100, 1960-50, 1961-100. ",1960 ,1
KENT_KENTLEAGUE_MNGM_0002_1.csv,"2. Legal rainbow trout planted as rec:  1962-100, 1963-100, 1964-100,  1965-70 and 80 legal brook  2 (cont.) 150 legal size rainbow  trout planted ",1965 ,1
KENT_KENTLEAGUE_MNGM_0002_1.csv,"3. Pond planted with 150 12""  rainbow trout. ",5/66 ,1
KENT_KENTLEAGUE_MNGM_0002_1.csv,4. Pond stocked with 200 brown  trout yearlings. ,12/67 ,1
KENT_KENTLEAGUE_MNGM_0002_1.csv,6. 300 yearling rainbows stocked ,4/69 ,1
ANTRIM_GREEN_MNGM_0001_1.csv,"1. Rainbow trout planted 1946:  15,000 (7) ; 1947 - 15,000 (7). ",1-31-49 ,1
ANTRIM_GREEN_MNGM_0001_1.csv,"8. 2,500 sub-legal brook trout  planted in 1955. ",,1
CALHOUN_NOTTAWA_MNGM_0002_1.csv,"1. Stocking: bgills 1937-41, 43, 45; ",11/63 ,0
GRANDTRAVERSE_BOARDMAN_MNGM_0001_1.csv,"3. 5,000 legal sized brown trout  planted 3/58 ",10/58 ,1
GRANDTRAVERSE_BOARDMAN_MNGM_0001_1.csv,"4. 2,000 legal brown trout planted  4/23/59 ",4/59 ,1
GRANDTRAVERSE_BOARDMAN_MNGM_0001_1.csv,"5. 2,000 L brown trout planted  1963 (1962 omitted) ",1-64 ,1
MARQUETTE_FLOPPER_MNGM_0003_1.csv,"4. Brook trout planted 1951, 52, 53  and 54 (see record card). ",2/55 ,1
MARQUETTE_FLOPPER_MNGM_0003_1.csv,6. Brook trout planted at reduced  rate 1955 thru 62. ,2/63 ,1
OGEMAW_LOST_MNGM_0004_1.csv,1. No fish have been planted since at least 1921. ,11/61 ,1
CALHOUN_MONTCALM_MNGM_0003_1.csv,"1. Bluegills and 1. m. bass stocked  1946-, 1948 ",7/46 ,1
GOGEBIC_DAWN_MNGM_0001_1.csv,"3. 8,000 tiger muskellunge X 2.0""  planted 6/11/71. ",6/71 ,1
GOGEBIC_DAWN_MNGM_0001_1.csv,"6. 6500 brook trout 2.9"" released 6/78. ",11/78 ,1
GOGEBIC_DAWN_MNGM_0001_1.csv,7. Netted 5/80; brook trt. stocked  1978 ave. 340mm; '79 brk. trt.  ave. 272mm; survival very good ,1/82 ,1
ALGER_TROUT_MNGM_0001_1.csv,5. Brook trout planted through 1964 ,8/65 ,1
HOUGHTON_RICE_MNGM_0001_2.csv," Musky survival low, 40# p. seeds  removed, 78.8 # bullheads removed.  Since musky stocking began ave.  lengths of other species have not  changed.  2 con't. 2700 t. musky 14.8 cm  released 7/80 ",10/80 ,1
WASHTENAW_ISLAND_MNGM_0002_1.csv,"1. Stocking: bgills 1937-44; 1. m. bass  1937-45.  Lake mapped by IFR Jan. 1942  Survey seined by LSI June 21, 22,  Bass, bgills, p. seed, perch, pickerel,  bhead, forage fish noted. ",1942 ,0
BARAGA_ENGMANS_MNGM_0002_1.csv,2. Netting shows fair survival of  brown trout stocked in 1961. ,7/62 ,1
BARAGA_ENGMANS_MNGM_0002_1.csv,3. Annual stocking of 500 legal brown  trout 1962. ,2/63 ,1
SCHOOLCRAFT_GRASSY_MNGM_0001_1.csv,2. Growth data (Latta-IFR 1957)  shows fish in good condition- -  no stocking necessary. ,1957 ,1
SCHOOLCRAFT_GRASSY_MNGM_0001_1.csv,5. 330 40 cm NOP stocked 1980 ,1980 ,1
ONTONAGON_MASS_MNGM_0003_1.csv,1. 250 legal rainbow trout planted  in 1963 ,2/65 ,1
CLARE_DODGE_MNGM_0002_1.csv,3. 50 pike planted fall 1961 ,12/61 ,1
MONTMORENCY_ESS_MNGM_0001_1.csv,6. Planting completed 12/63 ,1/7/64 ,0
MONTMORENCY_ESS_MNGM_0001_1.csv,5. Planting made 11/63 ,11/64 ,0
MONTMORENCY_ESS_MNGM_0001_1.csv,7. Discontinued.  NOTE: Smallmouth bass stocking can be  either transfer adults or fall  depending on availability of fish  Rainbow plants should be made annually  as long as they produce a fishery. ,12/72 ,1
MONTMORENCY_ESS_MNGM_0001_1.csv,11. Stocked with walleye-1974-'76 ,2/79 ,0
MASON_FORD_MNGM_0001_2.csv,"8. 5,000 (2.75"") walleyes stocked  7/57 ",1/58 ,1
